PLAYER_NAME,TEAM_ABBREVIATION,POSITION,MISSING_TEAM_USG,PREV_AVG_MIN,PRED_PTS
Adem Bona,PHI,C,31.693502140636113,25.811813908079802,6.6468063068764955
Lonzo Ball,CLE,PG,30.618053421982125,25.449911856793168,6.626103866224181
Derrick Jones Jr.,LAC,SF,30.664131383611533,28.89005512433434,6.592950677760387
Luguentz Dort,OKC,SF,17.10672433673957,27.72255712641943,6.539551511968104
Maxi Kleber,LAL,PF,37.18177436706302,24.091400394477315,6.371777182261146
Kris Dunn,LAC,PG,30.664131383611533,27.065464915566672,6.363348311719503
Kyle Anderson,MIN,SF,49.45850880538312,24.55101058432363,6.288124415257369
Mike Conley,MIN,PG,49.45850880538312,24.65447642230674,6.28189130789491
Nicolas Batum,LAC,PF,30.664131383611533,23.35532943053094,6.154019763142402
Mitchell Robinson,NYK,C,0.0,23.760586872826533,6.136474059819955
Jevon Carter,ORL,PG,19.168850015200327,24.319064994095026,5.818250981483499
Jordan Clarkson,NYK,SG,0.0,22.728566886427846,5.7418594945656105
Jarred Vanderbilt,LAL,PF,37.18177436706302,23.75913723151473,5.723993059550746
Luke Kornet,SAS,C,31.16501244647648,23.38074967654096,5.608372237342652
Gary Harris,MIL,SG,140.23922571189343,23.332057229045585,5.53749069061137
Asa Newell,ATL,PF,16.850201076321216,23.449013954308843,5.455481090486972
De'Anthony Melton,GSW,PG,83.43678220670179,24.918412224944806,5.115127975836785
Sion James,CHA,SG,0.0,23.219059894297487,4.02153467842105
